player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,donor_pool_size,p25,p50,p75,p90,sim_mean,sim_std,actual_season_total
00-0036898,QB,2023,HOU,17,17,6,0.8235294117647058,237,104.0714365895117,123.18141511637822,143.72264853663694,162.79068095027722,124.83729108168546,30.345953743248295,15.9
00-0036928,QB,2023,TB,17,17,2,0.058823529411764705,237,-0.1,-0.1,8.19246208216637,17.183642642770486,4.678574600393164,9.130547227904492,-0.1
00-0036945,QB,2023,CHI,17,17,13,0.7941176470588236,237,259.23526567936653,270.6097409471055,284.8059546447436,297.07745942639843,272.1545547975082,17.682558392848875,230.09999999999997
00-0036971,QB,2023,JAX,17,17,16,1.0,237,270.6112045620447,274.1264683486658,279.1882537463191,284.9971270364007,275.08680841632406,7.143226663345723,260.6
00-0036972,QB,2023,NE,17,17,11,0.9117647058823529,237,155.5640464348204,167.90943451292077,183.9625749746191,198.43728377990357,170.45897963219704,21.187075629072623,106.29999999999998
00-0037013,QB,2023,NYJ,17,17,12,0.6470588235294117,237,131.845826417276,142.29685578035517,154.01461274362762,166.0504094209758,143.8645109269521,16.691311530924402,115.80000000000001
00-0037077,QB,2023,WAS,17,17,17,0.058823529411764705,237,253.59999999999994,253.59999999999994,253.59999999999994,253.59999999999994,253.59999999999994,0.0,253.60000000000002
00-0037834,QB,2023,SF,17,17,16,0.7058823529411765,237,295.6,307.88066849527814,313.1775407679763,319.8322363610778,306.9550641412218,9.568403545535494,295.6
00-0038102,QB,2023,PIT,17,17,12,0.7647058823529411,237,141.91175084641952,154.85638623683622,168.26342531992117,181.3576649544401,156.01796081354982,19.18231223667523,110.19999999999999
00-0038108,QB,2023,NE,17,17,10,0.23529411764705882,237,71.30354542980794,79.87856781601947,89.56771935300816,100.30847703991661,82.38274600915425,13.46266691326576,69.19999999999999
00-0038122,QB,2023,ATL,17,17,15,0.23529411764705882,237,177.1,177.1,182.25432397027078,190.46297324894067,180.53338834879023,6.681387649414433,177.1
00-0038128,QB,2023,TEN,17,17,3,0.47058823529411764,237,31.43558360882158,47.12614227691981,63.62239471648889,80.17331295113854,48.66362303504423,24.478309332627497,3.1
00-0038416,QB,2023,CHI,17,12,5,0.88,237,113.4877556447035,127.8105481021716,144.38287657146714,161.7963139039212,129.67504595352986,23.650031919420766,53.300000000000004
00-0038476,QB,2023,NYG,17,10,9,0.88,237,96.34030658681554,101.30819551221457,106.19517728252131,112.92513899081433,102.11753216343244,7.572388352235685,93.5
00-0038579,QB,2023,LV,17,14,11,0.88,237,124.44378923617182,131.6911829198435,140.92713714776272,150.4041464814055,133.0429468541427,12.639715162672061,125.79999999999998
00-0038582,QB,2023,ARI,17,11,7,0.88,237,7.323469751002064,16.672248621244393,27.81201814802094,37.2497691277947,18.04027890250006,15.259362973427143,5.499999999999999
00-0038583,QB,2023,CLE,17,15,8,0.88,237,25.51470921021089,38.66079948816731,54.02498660938624,68.48491762041107,40.32720244449362,20.79749592665769,20.1
00-0039150,QB,2023,CAR,17,17,16,0.88,237,159.648082245797,164.87986357874502,170.08458196207428,176.2282859469714,165.1324662973431,8.369215532157995,152.5
00-0039152,QB,2023,TEN,17,11,9,0.88,237,113.14189437883353,120.397010695357,127.9499397690436,135.82221054543294,121.09542536428818,11.098320922771833,100.1
00-0039163,QB,2023,HOU,17,17,15,0.88,237,291.27930616067033,299.32202617072664,307.29592046476154,315.5526888480864,299.6347358500037,12.207435309459102,273.1
00-0039164,QB,2023,IND,17,17,4,0.88,237,219.78028065047533,243.12059213925374,268.0814230763193,294.43461362314775,245.18474777644266,36.79965190981206,68.6
00-0023459,QB,2024,NYJ,17,17,17,0.7963643790849673,318,252.6,252.6,252.6,252.6,252.59999999999994,5.684341886080802e-14,252.60000000000002
00-0026158,QB,2024,IND,17,17,8,0.7332261029411765,318,143.5780842866654,159.9143698432476,177.63017254596144,195.10147333243782,161.73231095517934,25.367233991487304,99.19999999999999
00-0026300,QB,2024,BAL,17,17,6,0.2771139705882353,318,-0.42989379664864524,6.706286087324463,16.37446066509648,25.882471394118028,8.416387119401511,13.39234197903755,0.7
