player_id,name,position,season,week,predicted_points,actual_fantasy_points,is_starter
00-0032775,D.Robinson,WR,2025,10,5.457376982481749,6.4,True
00-0037744,T.McBride,TE,2025,10,5.441591754551035,27.7,True
00-0040131,K.Williams,WR,2025,10,5.254991945275084,14.2,True
00-0033282,C.Samuel,WR,2025,10,5.244331916033062,3.1,True
00-0033357,T.Hill,QB,2025,10,5.222112032111596,2.0,True
00-0038359,X.Smith,WR,2025,10,5.061573104788758,2.4,True
00-0036427,T.Johnson,WR,2025,10,5.05082190632685,0.0,True
00-0040009,S.Williams,WR,2025,10,4.994900709736352,2.2,True
00-0036970,K.Pitts,TE,2025,10,4.976238411240448,5.8,True
00-0033869,M.Trubisky,QB,2025,10,4.938491922341559,0.4,False
00-0035359,D.Sills,WR,2025,10,4.91707467617159,0.0,False
00-0034351,D.Goedert,TE,2025,10,4.8760431433800155,8.3,True
00-0039065,S.LaPorta,TE,2025,10,4.839187390017631,10.3,True
00-0039920,M.Corley,WR,2025,10,4.464869368006608,3.2,True
00-0032211,T.Lockett,WR,2025,10,4.384854499662747,9.4,True
00-0039379,J.Thrash,WR,2025,10,4.3615877704618295,0.0,True
00-0030035,A.Thielen,WR,2025,10,4.349276583572376,3.6,True
00-0037614,J.Metchie,WR,2025,10,4.2977674835180615,0.6,True
00-0039338,B.Bowers,TE,2025,10,4.110559363403346,3.7,True
00-0032688,R.Chosen,WR,2025,10,3.883472366545949,2.7,True
00-0037742,T.Burks,WR,2025,10,3.8149491381553853,8.8,True
00-0040128,T.Warren,TE,2025,10,3.7302072174900442,17.9,True
00-0034383,D.Schultz,TE,2025,10,3.729885575849309,18.3,True
00-0038129,C.Otton,TE,2025,10,3.6240870967874046,17.2,True
00-0040663,H.Fannin,TE,2025,10,3.4406990611242043,8.4,True
00-0039589,K.Johnson,WR,2025,10,3.365236274004038,1.1,True
00-0040189,O.Gadsden,TE,2025,10,2.928578087332172,4.3,False
00-0040126,C.Loveland,TE,2025,10,2.561037638816778,9.5,True
00-0038090,S.Moore,WR,2025,10,2.551375150428831,2.8,True
00-0038933,D.Kincaid,TE,2025,10,2.505706485202338,5.7,True
00-0034753,M.Andrews,TE,2025,10,2.3963597068495,10.4,True
00-0035645,G.Olszewski,WR,2025,10,2.28542377796021,0.0,True
00-0033090,H.Henry,TE,2025,10,2.2162067986685576,1.9,True
00-0035229,T.Hockenson,TE,2025,10,2.2108038693598466,2.8,True
00-0036040,J.Johnson,TE,2025,10,2.0811979849084516,19.2,True
00-0039847,T.Johnson,TE,2025,10,1.8108016559440872,14.5,True
00-0030061,Z.Ertz,TE,2025,10,1.8046231069190952,9.4,True
00-0033881,E.Engram,TE,2025,10,1.6517224865318956,3.2,True
00-0033288,G.Kittle,TE,2025,10,1.6114763333201692,23.4,True
00-0036894,P.Freiermuth,TE,2025,10,1.6032272979844984,6.3,True
00-0033110,T.Higbee,TE,2025,10,1.4453151130573598,6.3,True
00-0039793,A.Barner,TE,2025,10,1.3987774685007726,0.3,True
00-0038102,K.Pickett,QB,2025,10,1.3952491986860165,0.0,False
00-0034577,K.Allen,QB,2025,10,1.3580952577188996,0.0,False
