position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
RB,2023,7y,7,10150,,existing_methodology,4.539806715498039,6.062321659392258,3.527398893686037,0.3987962940242402,0.6874274356227169,0.5010509139902346,1515
RB,2023,7y,7,10150,none,B_gbm_huber,4.548180809348738,6.326645183554583,3.35288872445686,0.3452271626752192,0.6864070697925112,-0.6670523174768019,1515
RB,2023,7y,7,10150,none,C_gbm_mae,4.162501050603162,6.039291935936646,2.789423126341698,0.403355358164117,0.7039467387968709,-0.9481643972390232,1515
RB,2023,7y,7,10150,linear,B_gbm_huber,4.477782691321179,6.297956889240909,3.240725856411016,0.3511518593829251,0.693720755909263,-0.7650010730168052,1515
RB,2023,7y,7,10150,linear,C_gbm_mae,4.168137637273922,6.038370035440194,2.7558422323277245,0.4035375003804213,0.7024115519935925,-0.9498593743350908,1515
RB,2023,7y,7,10150,exponential,B_gbm_huber,4.466937249253358,6.307782849670021,3.218406029863772,0.3491256372981667,0.6906655503516976,-0.8290229797707425,1515
RB,2023,7y,7,10150,exponential,C_gbm_mae,4.20990745640529,6.065745590778592,2.830689712972023,0.3981169960069287,0.699628333581535,-0.8028078536090235,1515
RB,2024,3y,3,4610,,existing_methodology,4.782248158322409,6.29702326822275,3.7520370849142095,0.3935686730142185,0.6690146742801105,0.387815335172089,1500
RB,2024,3y,3,4610,none,B_gbm_huber,4.681631505578595,6.630691606949942,3.1938055316252,0.3275984737430206,0.6758671123891421,-1.43325080051764,1500
RB,2024,3y,3,4610,none,C_gbm_mae,4.440098903539067,6.296616938651943,2.962239515836783,0.3936469331762701,0.6831574709351645,-1.0101262538796396,1500
RB,2024,3y,3,4610,linear,B_gbm_huber,4.736249895800622,6.641379150337705,3.39737956471198,0.3254291338088593,0.6756948715977943,-1.3247082685467126,1500
RB,2024,3y,3,4610,linear,C_gbm_mae,4.484795206063826,6.30665735124918,3.088794378793546,0.3917116435003597,0.6828249380971135,-0.7979946060525899,1500
RB,2024,3y,3,4610,exponential,B_gbm_huber,4.666174138252443,6.632832397187713,3.12683632806463,0.3271642194953746,0.6760928414422305,-1.4991232990260086,1500
