position,season,model,n_features_requested,n_features_actual,n_features_available,mae,rmse,medae,r2,spearman,bias,n
RB,2025,C_gbm_mae,20,20,64,5.651757599532597,8.66877583649606,3.1998387577385983,-0.10962581630010004,0.32013709781051075,-3.516302563006968,1552
RB,2025,C_gbm_mae,30,30,64,5.649710619806329,8.663060580727834,3.306127603946078,-0.10816316345987298,0.3219792084603007,-3.508654875854663,1552
RB,2025,C_gbm_mae,all,64,64,5.640945079059312,8.660519837266632,3.2682288873444056,-0.10751324409127805,0.31996603424386116,-3.5583551180812267,1552
WR,2023,C_gbm_mae,10,10,67,4.0518539471540445,6.2046355551719365,2.4449450410020743,0.35777641347190003,0.6831628723069333,-1.4256483002455438,2812
WR,2023,C_gbm_mae,20,20,67,4.032306246968917,6.188098777294821,2.459238060549025,0.3611951979994552,0.6854007920184925,-1.4613174987939601,2812
WR,2023,C_gbm_mae,30,30,67,4.024076619973959,6.117168909657411,2.518914836564344,0.37575561832683013,0.6885398737993383,-1.2444001279269328,2812
WR,2023,C_gbm_mae,all,67,67,4.021729572913203,6.1024762311952685,2.5792191423824535,0.3787507316969253,0.6896803144038188,-1.2121087871761391,2812
WR,2024,C_gbm_mae,10,10,67,4.053925529985761,6.179856680163845,2.3975127550785196,0.3695353870327639,0.7011881050561244,-1.2643534025590077,2739
WR,2024,C_gbm_mae,20,20,67,4.094040581676035,6.214114030174854,2.48128545875839,0.3625261920868168,0.7008916994769984,-1.3235310344125022,2739
WR,2024,C_gbm_mae,30,30,67,4.077518310574791,6.197952951206086,2.4678565641125374,0.36583764338092084,0.7033715539144343,-1.3098135865504,2739
WR,2024,C_gbm_mae,all,67,67,4.050585009690983,6.195244616653692,2.460300619370485,0.36639174522083473,0.7054922057762719,-1.3595992790648288,2739
WR,2025,C_gbm_mae,10,10,67,4.4189193353369305,6.819355892837642,2.5979325074919775,0.12826059569508408,0.5183952675156401,-2.6022685410546083,2723
WR,2025,C_gbm_mae,20,20,67,4.351198540590303,6.6908748649087615,2.5107678528157464,0.1607994108160541,0.543128396440156,-2.4102024699917117,2723
WR,2025,C_gbm_mae,30,30,67,4.216916175718341,6.48973464641195,2.4776930408998816,0.21049689180099673,0.5835488045783367,-2.282840931156003,2723
WR,2025,C_gbm_mae,all,67,67,4.294471266020231,6.625722644896175,2.471637153761681,0.17706322698952426,0.5688926091787309,-2.451383824335642,2723
TE,2023,B_gbm_huber,10,10,65,2.7220340972716044,4.499948811946255,1.4801420955267568,0.3629555635170223,0.7186328332603816,-1.16155195524311,1629
TE,2023,B_gbm_huber,20,20,65,2.7115988370961333,4.473400456789141,1.4653644100320709,0.37045013439192953,0.7196826782344539,-1.1470571064257808,1629
TE,2023,B_gbm_huber,30,30,65,2.717909923331352,4.486490943986921,1.4676315862328986,0.36676024679978436,0.7189424260723464,-1.138493844399691,1629
TE,2023,B_gbm_huber,all,65,65,2.7205490006002155,4.493460830466851,1.4672218967356128,0.36479120793137987,0.7188018020152892,-1.151253433828936,1629
TE,2024,B_gbm_huber,10,10,65,2.750191006590312,4.483445351463063,1.5303923906667014,0.3606411398760089,0.7115030786460327,-1.087100450328746,1691
TE,2024,B_gbm_huber,20,20,65,2.7493211159290882,4.486192704069887,1.5106794961321985,0.35985733087273086,0.7124237028199095,-1.0894758717929165,1691
TE,2024,B_gbm_huber,30,30,65,2.7471513164435253,4.483007216193858,1.5269648942662424,0.3607660937706122,0.7123839565588276,-1.0954991332294866,1691
TE,2024,B_gbm_huber,all,65,65,2.752096125462127,4.487936055822224,1.5225886888525577,0.35935971039258174,0.7124136663399636,-1.0958807901127496,1691
TE,2025,B_gbm_huber,10,10,65,3.130364752921875,5.2429531658943676,1.6172431244218872,0.20607071245892516,0.581947426751329,-2.0179310241652697,1691
TE,2025,B_gbm_huber,20,20,65,3.120441499264703,5.2121814791966905,1.6599276943876382,0.21536274664082766,0.5860681062416714,-1.9796841602702822,1691
TE,2025,B_gbm_huber,30,30,65,3.088124278376553,5.163293534167092,1.6046709207961283,0.2300128145477388,0.592672100967782,-1.9114258792452496,1691
TE,2025,B_gbm_huber,all,65,65,3.09224365915644,5.167845055108155,1.606523005667842,0.22865470563520351,0.5909603111575277,-1.9273229512687402,1691
