position,season,model,n_features_requested,n_features_actual,n_features_available,mae,rmse,medae,r2,spearman,bias,n
TE,2023,C_gbm_mae,20,20,65,3.4926171617228072,4.996835205424992,2.363954097646574,0.28074998752273883,0.540707536585447,-1.025597183770118,1102
TE,2023,C_gbm_mae,30,30,65,3.444565634525469,4.942473655624804,2.3866004704867576,0.29631458309722547,0.5529461854786121,-0.9746695670449855,1102
TE,2023,C_gbm_mae,all,65,65,3.416196853164792,4.898791056014434,2.317535949561705,0.3086982486431358,0.5575461865794525,-0.9561732337550952,1102
TE,2024,C_gbm_mae,10,10,65,3.7476931468952355,5.204144516758338,2.558400606187687,0.22409766918751206,0.5030628720728118,-1.0176751594922437,1116
TE,2024,C_gbm_mae,20,20,65,3.630943386116005,5.069600908774055,2.476425653566862,0.26369812911000945,0.5310649133446977,-0.882622768365228,1116
TE,2024,C_gbm_mae,30,30,65,3.6786587096206684,5.152708206468877,2.547079847971809,0.23935947657146495,0.5118992323540315,-1.047588393784475,1116
TE,2024,C_gbm_mae,all,65,65,3.6540380530540553,5.099045883156239,2.5157753565205967,0.25512019505373695,0.5227819352961196,-0.9529002424152933,1116
TE,2025,C_gbm_mae,10,10,65,3.7986468353718794,5.6020594082867285,2.4829453178165215,0.1666133220353585,0.48870016886415885,-1.4814507162835298,1159
TE,2025,C_gbm_mae,20,20,65,3.724551265943779,5.548282362420497,2.4436246888276347,0.1825367385146225,0.5169120526383768,-1.5547405500094984,1159
TE,2025,C_gbm_mae,30,30,65,3.7054749195025325,5.457062877886629,2.4457051169366464,0.2091956503530933,0.5192974703524672,-1.231436444971848,1159
TE,2025,C_gbm_mae,all,65,65,3.6911561147985497,5.462552950737347,2.4547290405144424,0.20760367404446678,0.5237380333081831,-1.3830737855821673,1159
