position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
QB,2024,10y,10,8383,linear,F_yeojohnson_huber,6.0168425797131455,7.569722035576949,5.052998760794124,0.3486292389668434,0.5700871826643207,-0.02200288905232139,720
QB,2024,10y,10,8383,exponential,B_gbm_huber,6.546363488577183,8.061943256431995,5.8066559209870405,0.2611643043288834,0.558973484586131,0.0633101165384645,720
QB,2024,10y,10,8383,exponential,F_yeojohnson_huber,6.077728565461772,7.77561304938933,5.036608722293571,0.312713718552582,0.5487189857595883,-0.6160058140971636,720
QB,2025,10y,10,8023,n/a,existing_methodology,6.512092628580488,8.178018228338045,5.377783425487433,0.23304441361094574,0.49606760076556566,-1.4193971027451637,708
QB,2025,10y,10,8023,none,B_gbm_huber,6.836434924364949,8.451573916075597,5.7992847436661705,0.18087674678383991,0.46856749660353486,-1.7911127430554519,708
QB,2025,10y,10,8023,none,F_yeojohnson_huber,7.618361410591441,9.96832110475376,5.749609573047636,-0.13950990660329143,0.39896342476996893,-4.452647261647084,708
QB,2025,10y,10,8023,linear,B_gbm_huber,6.813790817224229,8.223839141588305,6.413492978746444,0.2244259304302274,0.49784335757585296,-0.5295637220884624,708
QB,2025,10y,10,8023,linear,F_yeojohnson_huber,7.74225959889614,10.177879879937974,5.854507017308654,-0.18792414232754662,0.35879972459843923,-4.4867401197214205,708
QB,2025,10y,10,8023,exponential,B_gbm_huber,6.862083297426256,8.222945720716718,6.411314625661196,0.2245944348017045,0.5038925613433418,-0.34395282639036256,708
QB,2025,10y,10,8023,exponential,F_yeojohnson_huber,8.047924927620231,10.531006034694112,6.225627648342455,-0.27178526798531655,0.3540299659286744,-5.282141408069217,708
QB,2023,all,17,16590,n/a,existing_methodology,6.135710587674005,7.493566863787809,5.410985045856146,0.28846177407610585,0.5264285614879319,0.7417473185741644,718
QB,2023,all,17,16590,none,B_gbm_huber,6.412555449246011,7.9335939784392355,5.420587340322497,0.202444334865853,0.5373550725479053,-1.9688435827336683,718
QB,2023,all,17,16590,none,F_yeojohnson_huber,5.724520455484863,7.25683974773568,4.771243114179067,0.3327076770485169,0.5718253319383174,-0.8930037182441752,718
QB,2023,all,17,16590,linear,B_gbm_huber,6.308561930608481,7.743007468090883,5.43473280542758,0.24030298617309986,0.5489486376741476,-1.2412428802597784,718
QB,2023,all,17,16590,linear,F_yeojohnson_huber,5.775822375691747,7.3145201795370935,4.773540291524091,0.32205767596982826,0.5637045675893055,-0.8785113536805055,718
