position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
RB,2024,3y,3,4269,exponential,F_yeojohnson_huber,4.72278010639977,6.577844943548549,3.10650111276957,0.3322903784788557,0.630856837832809,-1.145803552064898,1393
RB,2024,5y,5,6974,n/a,existing_methodology,4.9006140413976755,6.419822844085412,3.8489481552337477,0.36398631807970694,0.6244864596945082,0.04335323457001336,1393
RB,2024,5y,5,6974,none,B_gbm_huber,4.89615568990437,6.695206483385996,3.6449102449399806,0.30825134807425414,0.6281115192150574,-1.158068094830273,1393
RB,2024,5y,5,6974,none,F_yeojohnson_huber,4.657605115471766,6.45290202194839,3.3254019395313428,0.3574151047741324,0.6366426476003336,-0.8673464429425628,1393
RB,2024,5y,5,6974,linear,B_gbm_huber,4.867270231717247,6.716791925936146,3.513458645986212,0.30378374253227114,0.6271667352958414,-1.3274648114007086,1393
RB,2024,5y,5,6974,linear,F_yeojohnson_huber,4.681711980724363,6.4525600291258955,3.377055181930789,0.357483214780398,0.6314193927136021,-0.7979176352516409,1393
RB,2024,5y,5,6974,exponential,B_gbm_huber,4.882596266541508,6.729415224827327,3.5977787985270187,0.301164395544129,0.6212160411753311,-1.2923872436920725,1393
RB,2024,5y,5,6974,exponential,F_yeojohnson_huber,4.715350629091014,6.438510074258604,3.355907096082726,0.36027823059785735,0.6290017334845823,-0.6322123113360485,1393
RB,2024,7y,7,9652,n/a,existing_methodology,4.90057462659273,6.41896912132861,3.849360819329391,0.3641554639467377,0.6254644118172005,0.06623864817279741,1393
RB,2024,7y,7,9652,none,B_gbm_huber,4.91337234332563,6.679996481506612,3.7276102705059766,0.31139077240244695,0.6322817109261499,-1.0410737765156224,1393
RB,2024,7y,7,9652,none,F_yeojohnson_huber,4.611384797536619,6.467812268026577,3.0999147166041316,0.35444212670888564,0.6419664115939449,-1.0666724953605293,1393
RB,2024,7y,7,9652,linear,B_gbm_huber,4.854084849759113,6.682498493857503,3.6301066100694257,0.31087483457001297,0.6351009280905596,-1.257062949036337,1393
RB,2024,7y,7,9652,linear,F_yeojohnson_huber,4.612109526995949,6.445032261087195,3.150591711406408,0.35898150257990735,0.6450580227977675,-1.0932918164952545,1393
RB,2024,7y,7,9652,exponential,B_gbm_huber,4.86674396046153,6.7433562889073695,3.5772448242391617,0.2982658959847606,0.6264038708666345,-1.41110957207294,1393
RB,2024,7y,7,9652,exponential,F_yeojohnson_huber,4.676873360466552,6.46460867905148,3.3624460202947697,0.355081474241393,0.6356638408649921,-0.9923761666962616,1393
RB,2025,3y,3,4244,n/a,existing_methodology,4.675624851332559,6.684838534672344,3.1993008653652244,0.3381656851325514,0.6372338592237782,-1.195838727089353,1447
RB,2025,3y,3,4244,none,B_gbm_huber,4.884377582622676,7.1025239394246125,3.245652248366567,0.25287572123781843,0.6110963151049781,-1.8558176634818697,1447
RB,2025,3y,3,4244,none,F_yeojohnson_huber,4.887637475876132,7.2909020621549505,2.996248370169832,0.2127186453615063,0.6093074620930342,-2.7766331666616164,1447
RB,2025,3y,3,4244,linear,B_gbm_huber,4.9295498494266115,7.215966368207348,3.196470211373559,0.22881879242044234,0.6043642846747133,-2.050564128961165,1447
RB,2025,3y,3,4244,linear,F_yeojohnson_huber,4.928948486461932,7.4530239399794995,2.832701726352294,0.17731710124371347,0.6142531818058955,-3.1269993547115815,1447
