position,season,window,actual_years,n_train_rows,receiving_floor,weighting,model,mae,rmse,medae,r2,spearman,bias,n
TE,2023,all,17,19136,True,none,B_gbm_huber,2.843856786967842,4.529365728156059,1.5404864346732756,0.3545994081623708,0.6568647975692623,-1.1271331259086053,1629
TE,2023,all,17,19136,True,none,C_gbm_mae,2.7421857909372465,4.3641308988006795,1.506271783564205,0.4008299220512753,0.6552089480511566,-0.9974120664488606,1629
TE,2023,all,17,19136,True,linear,B_gbm_huber,2.845105531358497,4.562109101545191,1.530980150595945,0.3452343098391957,0.6614080873915164,-1.2088519516971457,1629
TE,2023,all,17,19136,True,linear,C_gbm_mae,2.7278297476638897,4.350974401765817,1.5134525715831442,0.4044370993661651,0.659875258543363,-0.9871349431427509,1629
TE,2023,all,17,19136,True,exponential,B_gbm_huber,2.8722892417672456,4.591029544569931,1.5171138506648254,0.3369065237268276,0.6536165112786014,-1.2601919149182372,1629
TE,2023,all,17,19136,True,exponential,C_gbm_mae,2.745194420893556,4.3618489742943884,1.533564206736123,0.4014563484615302,0.65673280963827,-0.9599943062428218,1629
TE,2024,3y,3,4931,True,n/a,existing_methodology,2.9181938728925605,4.2732771766058235,1.8791085427385947,0.42031210006794284,0.657487941659884,-0.050569462667140075,1684
TE,2024,3y,3,4931,True,none,B_gbm_huber,2.856770522144271,4.559722768578747,1.4720568417842745,0.33999232568912396,0.6606171896376026,-1.1570949491051483,1684
TE,2024,3y,3,4931,True,none,C_gbm_mae,2.813470999003374,4.410379898088389,1.5537527194006007,0.38251827498392743,0.6449119658448811,-0.9122346115382756,1684
TE,2024,3y,3,4931,True,linear,B_gbm_huber,2.891907261534246,4.57334133207255,1.531718472682455,0.3360439368607402,0.6513396230930348,-1.1086358530065488,1684
TE,2024,3y,3,4931,True,linear,C_gbm_mae,2.805697401823511,4.409243442311268,1.5516850478690944,0.38283645631001484,0.6503563427768838,-0.9248108380791744,1684
TE,2024,3y,3,4931,True,exponential,B_gbm_huber,2.8897797795849924,4.565370028650562,1.535613846894242,0.3383564617195245,0.6517852906450614,-1.090122577708151,1684
TE,2024,3y,3,4931,True,exponential,C_gbm_mae,2.8131902752022144,4.432360564784411,1.4925970949366696,0.37634806636440954,0.6495628014744821,-0.9879450710224855,1684
TE,2024,5y,5,7912,True,n/a,existing_methodology,2.918778283953198,4.257411142347423,1.9602703706700302,0.4246086965751763,0.6629283803810619,0.020934415808265404,1684
TE,2024,5y,5,7912,True,none,B_gbm_huber,2.8500901481083174,4.536955690870407,1.5168593354002726,0.3465668183142686,0.6606637060166062,-1.1103087273708547,1684
TE,2024,5y,5,7912,True,none,C_gbm_mae,2.7525553159054237,4.347190797241314,1.4880557374492969,0.40008528852789416,0.6565279700690967,-0.8824160492942335,1684
