position,season,window,actual_years,n_train_rows,receiving_floor,weighting,model,mae,rmse,medae,r2,spearman,bias,n
RB,2023,3y,3,4622,True,none,B_gbm_huber,4.534181053453168,6.353854891982371,3.224646646493916,0.3395829422444169,0.6786593064513603,-0.802252871626125,1515
RB,2023,3y,3,4622,True,none,C_gbm_mae,4.274866037476701,6.0866119560788725,2.9277458928048445,0.3939688785763884,0.6878527469477784,-0.7949275467540161,1515
RB,2023,3y,3,4622,True,linear,B_gbm_huber,4.534800544519014,6.376465736736846,3.1870765188231633,0.33487425518965963,0.6728366150241374,-0.8117003609052268,1515
RB,2023,3y,3,4622,True,linear,C_gbm_mae,4.271781712829669,6.122122762185618,2.899296480113896,0.386876778004543,0.6880814759896154,-0.8925749714763692,1515
RB,2023,3y,3,4622,True,exponential,B_gbm_huber,4.522382667277232,6.360748940073137,3.1558479732042053,0.3381490357266602,0.6765752394719469,-0.8389103346548598,1515
RB,2023,3y,3,4622,True,exponential,C_gbm_mae,4.27453780577312,6.124430366605367,2.8830182244962526,0.3864144832875054,0.6842108361608461,-0.9343493675158152,1515
RB,2023,5y,5,7488,True,n/a,existing_methodology,4.588907029256985,6.101251359056394,3.6257453445482133,0.3910501437628289,0.6798596815047948,0.5152938616653523,1515
RB,2023,5y,5,7488,True,none,B_gbm_huber,4.540277668760003,6.297887758713029,3.3360603662872883,0.35116610367487044,0.6870564039652138,-0.6899162039881953,1515
RB,2023,5y,5,7488,True,none,C_gbm_mae,4.207281012960031,6.027018937314523,2.8988432764690466,0.4057778866533178,0.692112465225232,-0.83200517608881,1515
RB,2023,5y,5,7488,True,linear,B_gbm_huber,4.5052518907325565,6.29888741435342,3.22344642965426,0.35096011018449935,0.6866791436139813,-0.7796401232439235,1515
RB,2023,5y,5,7488,True,linear,C_gbm_mae,4.200889729313908,6.0507179128787145,2.831523456809901,0.401095590991397,0.6965885115827736,-0.9482313496772229,1515
RB,2023,5y,5,7488,True,exponential,B_gbm_huber,4.5026911577081625,6.308450734621338,3.1990160661550906,0.3489877973577332,0.6841041717245553,-0.8036123931675699,1515
RB,2023,5y,5,7488,True,exponential,C_gbm_mae,4.235609843619592,6.067355513966474,2.83539856845713,0.39779745936289546,0.688820042678505,-0.8945057848954592,1515
RB,2023,7y,7,10329,True,n/a,existing_methodology,4.588130995334954,6.093879236129776,3.6188785976078317,0.3925208391192404,0.6825016162982173,0.5632515123424957,1515
RB,2023,7y,7,10329,True,none,B_gbm_huber,4.554896422979031,6.3243799986002065,3.336728430549065,0.345695947005076,0.6853067247043183,-0.6921788565375808,1515
RB,2023,7y,7,10329,True,none,C_gbm_mae,4.18028251574625,6.00726151092014,2.8746442576538698,0.4096673904365774,0.7006332257692348,-0.8760339017520858,1515
RB,2023,7y,7,10329,True,linear,B_gbm_huber,4.532316070504975,6.301535810584937,3.3178654923164643,0.3504142118224498,0.688274730285095,-0.7349781615421241,1515
RB,2023,7y,7,10329,True,linear,C_gbm_mae,4.212902052437421,6.046195537690423,2.8629738637721953,0.40199051232393324,0.6941701790416007,-0.9391706095167227,1515
RB,2023,7y,7,10329,True,exponential,B_gbm_huber,4.5039369318547395,6.3144215170603735,3.185396661580521,0.34775488237210583,0.6844356970786624,-0.8179339614770821,1515
RB,2023,7y,7,10329,True,exponential,C_gbm_mae,4.223034107835841,6.055624434245733,2.9779125904544737,0.4001238951528322,0.6920230312290993,-0.9362285522589989,1515
