player_id,week,receiving_yards,receptions,targets,receiving_tds,player_name,team,position,season,fantasy_points
00-0033110,21,12.0,1.0,1.0,0,Tyler Higbee,LA,TE,2025,2.200000047683716
00-0033217,1,20.0,1.0,1.0,0,Mo Alie-Cox,IND,TE,2025,3.0
00-0033217,2,8.0,1.0,1.0,0,Mo Alie-Cox,IND,TE,2025,1.7999999523162842
00-0033217,6,16.0,1.0,2.0,0,Mo Alie-Cox,IND,TE,2025,2.5999999046325684
00-0033217,7,6.0,1.0,2.0,0,Mo Alie-Cox,IND,TE,2025,1.600000023841858
00-0033217,9,0.0,0.0,1.0,0,Mo Alie-Cox,IND,TE,2025,0.0
00-0033217,10,0.0,0.0,1.0,0,Mo Alie-Cox,IND,TE,2025,0.0
00-0033217,12,9.0,1.0,1.0,0,Mo Alie-Cox,IND,TE,2025,1.9000000953674316
00-0033217,14,0.0,0.0,2.0,0,Mo Alie-Cox,IND,TE,2025,0.0
00-0033217,16,16.0,2.0,2.0,0,Mo Alie-Cox,IND,TE,2025,3.5999999046325684
00-0033217,17,20.0,3.0,3.0,1,Mo Alie-Cox,IND,TE,2025,11.0
00-0033217,18,22.0,3.0,4.0,0,Mo Alie-Cox,IND,TE,2025,5.199999809265137
00-0033246,1,0.0,0.0,1.0,0,Johnny Mundt,JAX,TE,2025,0.0
00-0033246,3,7.0,1.0,1.0,0,Johnny Mundt,JAX,TE,2025,1.7000000476837158
00-0033246,4,0.0,0.0,1.0,0,Johnny Mundt,JAX,TE,2025,0.0
00-0033246,5,7.0,1.0,1.0,0,Johnny Mundt,JAX,TE,2025,1.7000000476837158
00-0033246,6,14.0,1.0,2.0,0,Johnny Mundt,JAX,TE,2025,2.4000000953674316
00-0033246,7,9.0,1.0,4.0,0,Johnny Mundt,JAX,TE,2025,1.9000000953674316
00-0033246,10,21.0,1.0,2.0,0,Johnny Mundt,JAX,TE,2025,3.1000001430511475
00-0033246,11,25.0,2.0,3.0,0,Johnny Mundt,JAX,TE,2025,4.5
00-0033246,12,12.0,1.0,2.0,0,Johnny Mundt,JAX,TE,2025,2.200000047683716
00-0033246,17,0.0,0.0,1.0,0,Johnny Mundt,JAX,TE,2025,0.0
00-0033246,18,16.0,1.0,1.0,0,Johnny Mundt,JAX,TE,2025,2.5999999046325684
00-0033288,1,25.0,4.0,4.0,1,George Kittle,SF,TE,2025,12.5
00-0033288,7,0.0,0.0,2.0,0,George Kittle,SF,TE,2025,0.0
00-0033288,8,43.0,4.0,5.0,1,George Kittle,SF,TE,2025,14.300000190734863
00-0033288,9,32.0,4.0,4.0,0,George Kittle,SF,TE,2025,7.199999809265137
00-0033288,10,84.0,9.0,9.0,1,George Kittle,SF,TE,2025,23.400001525878906
