player,position,season,week,actual_ppr,prediction,model,fold,training_window,weighting_strategy,p25,p50,p75,p90
00-0033106,QB,2023,15,31.1,4.4,baseline_recent_game,2023,all,none,,,,
00-0033106,QB,2023,16,14.3,31.1,baseline_recent_game,2023,all,none,,,,
00-0033106,QB,2023,17,10.8,14.3,baseline_recent_game,2023,all,none,,,,
00-0033106,QB,2023,18,20.8,10.8,baseline_recent_game,2023,all,none,,,,
00-0033106,QB,2023,19,14.8,20.8,baseline_recent_game,2023,all,none,,,,
00-0033106,QB,2023,20,20.1,14.8,baseline_recent_game,2023,all,none,,,,
00-0033106,QB,2023,21,14.9,20.1,baseline_recent_game,2023,all,none,,,,
00-0033119,QB,2023,13,0.0,0.0,baseline_recent_game,2023,all,none,,,,
00-0033119,QB,2023,15,13.9,0.0,baseline_recent_game,2023,all,none,,,,
00-0033119,QB,2023,16,9.0,13.9,baseline_recent_game,2023,all,none,,,,
00-0033275,QB,2023,6,3.8,5.7,baseline_recent_game,2023,all,none,,,,
00-0033275,QB,2023,7,5.4,3.8,baseline_recent_game,2023,all,none,,,,
00-0033275,QB,2023,8,10.6,5.4,baseline_recent_game,2023,all,none,,,,
00-0033275,QB,2023,9,0.0,10.6,baseline_recent_game,2023,all,none,,,,
00-0033275,QB,2023,10,0.0,0.0,baseline_recent_game,2023,all,none,,,,
00-0033275,QB,2023,12,0.1,0.0,baseline_recent_game,2023,all,none,,,,
00-0033319,QB,2023,14,3.3,3.4,baseline_recent_game,2023,all,none,,,,
00-0033319,QB,2023,15,17.1,3.3,baseline_recent_game,2023,all,none,,,,
00-0033319,QB,2023,16,16.5,17.1,baseline_recent_game,2023,all,none,,,,
00-0033319,QB,2023,17,9.1,16.5,baseline_recent_game,2023,all,none,,,,
00-0033319,QB,2023,18,20.6,9.1,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,1,0.4,3.5,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,2,8.7,0.4,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,3,3.1,8.7,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,4,3.2,3.1,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,5,3.0,3.2,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,6,12.3,3.0,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,7,16.8,12.3,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,8,22.5,16.8,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,9,20.6,22.5,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,10,4.3,20.6,baseline_recent_game,2023,all,none,,,,
