player_id,season,week,team,position,predicted_share_rushing_yards,predicted_team_rushing_yards,predicted_rushing_yards,predicted_share_receiving_yards,predicted_team_receiving_yards,predicted_receiving_yards,predicted_share_receptions,predicted_team_receptions,predicted_receptions,predicted_share_receiving_tds,predicted_team_receiving_tds,predicted_receiving_tds,predicted_share_rushing_tds,predicted_team_rushing_tds,predicted_rushing_tds,predicted_share_passing_yards,predicted_team_passing_yards,predicted_passing_yards,predicted_share_passing_tds,predicted_team_passing_tds,predicted_passing_tds,predicted_share_interceptions,predicted_team_interceptions,predicted_interceptions,predicted_ppr,rushing_yards,receiving_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,actual_ppr,model_version,artifact_schema_version
00-0024243,2025,15,DEN,TE,0.0,122.77775949114692,0.0,0.008283198043269106,266.5495300292969,2.2078825455729714,0.0,21.665363311767578,0.0,0.0,1.7162401676177979,0.0,0.0,1.0916345283776994,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,16,DEN,TE,0.0,56.60746440780307,0.0,0.006664788329086663,312.741455078125,2.084355599826268,0.0,28.682846069335938,0.0,0.0,1.9216099977493286,0.0,0.0,0.005783968520347349,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,17,DEN,TE,0.0,120.11058244078811,0.0,0.00659379932670773,257.30499267578125,1.6966174874641038,0.0,25.746519088745117,0.0,0.0,1.538352608680725,0.0,0.0,0.976334048772765,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,18,DEN,TE,0.0,122.48974471782964,0.0,0.005192598788543924,178.19772338867188,0.9253092825893029,0.0,16.915876388549805,0.0,0.0,1.6817010641098022,0.0,0.0,0.8855171129688445,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,1,CLE,QB,0.03058746653617484,91.33040691668437,2.793565765299314,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.4585641568749752,0.0,0.39060386381848805,296.81696951519285,115.93785513952871,0.3624127617148555,1.118140459060669,0.40522837175329335,0.23529411764705882,0.9294888256143954,0.2187032530857401,6.1,6.0,0.0,0.0,0.0,0.0,290.0,1.0,2.0,12.2,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,2,CLE,QB,0.013492472972222202,79.1438111840242,1.0678457333191038,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.12674859357948554,0.0,0.39060386381848805,270.11853462503007,105.5093433135248,0.3624127617148555,0.9533823728561401,0.34551793871705583,0.23529411764705882,1.2336440454948987,0.2902691871752703,5.13,8.0,0.0,0.0,0.0,0.0,199.0,1.0,1.0,10.76,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,3,CLE,QB,0.013811688740176582,72.70618697804512,1.0041952240258392,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.9245223385972366,0.0,0.39060386381848805,221.3341111209176,86.45395899866101,0.35488595438175274,0.9051914215087891,0.32123972152032204,0.23529411764705882,0.6730084193861452,0.15835492220850475,4.53,0.0,0.0,0.0,0.0,0.0,142.0,0.0,1.0,3.68,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,4,CLE,QB,0.0640047323277137,92.94422533595915,5.948870264034771,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.4085889111457779,0.0,0.9709480122324159,236.10690893672881,229.24753390645688,0.5125,1.313217043876648,0.673023734986782,1.0,0.8056058356346963,0.8056058356346963,10.85,0.0,0.0,0.0,0.0,0.0,184.0,0.0,2.0,3.36,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,5,CLE,QB,0.02318840579710145,141.50270468371875,3.281222137593478,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8734058212854513,0.0,0.9709480122324159,205.4355357375872,199.46722506631173,0.18333333333333332,0.9998824596405029,0.18331178426742553,1.0,0.5056240696578015,0.5056240696578015,8.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,6,CIN,QB,0.0,61.10374469374811,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.11182913575359055,0.0,0.6666666666666666,235.0295274299752,156.68635161998344,0.0,1.1190446615219116,0.0,0.6666666666666666,1.266200650378219,0.8441337669188127,4.58,0.0,0.0,0.0,0.0,0.0,219.0,2.0,0.0,16.76,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,7,CIN,QB,0.0,79.81845089770408,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.3528825718381397,0.0,0.6666666666666666,317.16322655090664,211.44215103393776,0.3416666666666667,1.9191838502883911,0.6557211488485336,0.3333333333333333,0.9808527016396005,0.3269509005465335,10.43,14.0,0.0,0.0,0.0,0.0,342.0,3.0,0.0,27.08,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,8,CIN,QB,0.030501089324618733,109.41028247438848,3.3371327987830908,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.2709131606800133,0.0,0.6666666666666666,259.4922090409089,172.9948060272726,0.6666666666666666,1.903282880783081,1.2688552538553872,0.0,0.7659148987251472,0.0,12.33,14.0,0.0,0.0,0.0,1.0,223.0,2.0,0.0,24.32,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,9,CIN,QB,0.05628377809073291,70.61137029098921,3.9742746961406072,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.1111111111111111,0.30864383646674565,0.03429375960741618,1.0,350.9679200260714,350.9679200260714,1.0,2.4998092651367188,2.4998092651367188,0.0,1.4200192530513567,0.0,24.64,0.0,0.0,0.0,0.0,0.0,470.0,4.0,2.0,30.8,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,11,CIN,QB,0.05628377809073291,82.33412058279639,4.634075372177756,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.1111111111111111,0.626326754679754,0.06959186163108377,1.0,247.0371619207663,247.0371619207663,1.0,1.2929630279541016,1.2929630279541016,0.3333333333333333,0.8897880912020548,0.29659603040068494,15.34,0.0,0.0,0.0,0.0,0.0,199.0,1.0,1.0,9.96,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,12,CIN,QB,0.02578268876611418,100.49190324998315,2.5909514650087737,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.1111111111111111,0.2938915168128846,0.0326546129792094,1.0,224.55475528890864,224.55475528890864,1.0,0.7618229985237122,0.7618229985237122,0.6666666666666666,1.2021925093364076,0.8014616728909384,10.88,3.0,0.0,0.0,0.0,0.0,183.0,1.0,1.0,9.62,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,13,CIN,QB,0.008333333333333333,122.9726553409642,1.0247721278413682,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.43040886544392953,0.0,0.9763113367174281,326.5928627737071,318.85631441696955,1.0,1.9367488622665405,1.9367488622665405,1.0,0.3313204403257874,0.3313204403257874,19.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,14,CIN,QB,0.008333333333333333,68.5127106031108,0.5709392550259234,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5502255072556905,0.0,0.6429780033840947,245.3615466362675,157.7620773634207,0.6666666666666666,1.3088990449905396,0.8725993633270264,0.6666666666666666,1.1092628288619366,0.7395085525746243,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
