team,season,week,position,slot,slot_rank,player_id,depth_chart_rank,snap_share_s2d
ARI,2013,11,QB,QB2,2,00-0025430,2.0,
ARI,2013,11,RB,RB1,1,00-0026163,1.0,0.44862321771665487
ARI,2013,11,RB,RB2,2,00-0030287,2.0,0.4019062151523363
ARI,2013,11,RB,RB3,3,00-0027346,2.0,0.1823799682181365
ARI,2013,11,RB,RB4,4,00-0030282,2.0,0.11667067921147833
ARI,2013,11,TE,TE1,1,00-0028007,1.0,0.6601551079415373
ARI,2013,11,TE,TE2,2,00-0027825,1.0,0.6038067424081096
ARI,2013,11,TE,TE3,3,00-0027259,2.0,0.3333333333333333
ARI,2013,11,WR,WR1,1,00-0022921,1.0,0.9200074485866908
ARI,2013,11,WR,WR2,2,00-0029638,1.0,0.8400471550796464
ARI,2013,11,WR,WR3,3,00-0027691,2.0,0.6140015763100011
ARI,2013,11,WR,WR4,4,00-0030300,2.0,0.1525169550092739
ARI,2013,11,WR,WR5,5,00-0029336,3.0,0.24242424242424243
ARI,2013,11,WR,WR6,6,00-0027853,3.0,0.03535353535353535
ARI,2013,12,QB,QB1,1,00-0021429,1.0,0.9954545454545455
ARI,2013,12,QB,QB2,2,00-0025430,2.0,
ARI,2013,12,RB,RB1,1,00-0026163,1.0,0.45513690206053703
ARI,2013,12,RB,RB2,2,00-0030287,2.0,0.403744579144349
ARI,2013,12,RB,RB3,3,00-0027346,2.0,0.1713883482079171
ARI,2013,12,RB,RB4,4,00-0030282,2.0,0.10621461944834788
ARI,2013,12,TE,TE1,1,00-0028007,1.0,0.6519110817676858
ARI,2013,12,TE,TE2,2,00-0027825,1.0,0.6129912855586029
ARI,2013,12,TE,TE3,3,00-0027259,2.0,0.2753623188405797
ARI,2013,12,WR,WR1,1,00-0022921,1.0,0.9207603269164274
ARI,2013,12,WR,WR2,2,00-0029638,1.0,0.8458975120354498
ARI,2013,12,WR,WR3,3,00-0027691,2.0,0.6047753317224792
ARI,2013,12,WR,WR4,4,00-0030300,2.0,0.14306236095762187
ARI,2013,12,WR,WR5,5,00-0029336,3.0,0.24242424242424243
ARI,2013,13,QB,QB1,1,00-0021429,1.0,0.9958677685950413
ARI,2013,13,QB,QB2,2,00-0025430,2.0,
ARI,2013,13,RB,RB1,1,00-0026163,1.0,0.44962321185448334
ARI,2013,13,RB,RB2,2,00-0030287,2.0,0.40582840528274156
ARI,2013,13,RB,RB3,3,00-0027346,2.0,0.16308031655265187
ARI,2013,13,RB,RB4,4,00-0030282,2.0,0.10460445868397107
ARI,2013,13,TE,TE1,1,00-0028007,1.0,0.6668839245342392
ARI,2013,13,TE,TE2,2,00-0027825,1.0,0.6069617747502452
ARI,2013,13,TE,TE3,3,00-0027259,2.0,0.23690821256038644
ARI,2013,13,WR,WR1,1,00-0022921,1.0,0.9231154487119038
ARI,2013,13,WR,WR2,2,00-0029638,1.0,0.8502098594261667
ARI,2013,13,WR,WR3,3,00-0027691,2.0,0.5934321197477084
ARI,2013,13,WR,WR4,4,00-0030300,2.0,0.13975366147662593
ARI,2013,13,WR,WR5,5,00-0029336,3.0,0.24242424242424243
ARI,2013,14,QB,QB1,1,00-0021429,1.0,0.9962121212121212
ARI,2013,14,QB,QB2,2,00-0025430,2.0,
ARI,2013,14,RB,RB1,1,00-0026163,1.0,0.45484312473326904
ARI,2013,14,RB,RB2,2,00-0030287,2.0,0.40582840528274156
ARI,2013,14,RB,RB3,3,00-0027346,2.0,0.15887996153476658
ARI,2013,14,RB,RB4,4,00-0030282,2.0,0.12584559081767693
ARI,2013,14,TE,TE1,1,00-0028007,1.0,0.6818856729258856
ARI,2013,14,TE,TE2,2,00-0027825,1.0,0.6009825658215275
ARI,2013,14,TE,TE3,3,00-0027259,2.0,0.19176566646254337
ARI,2013,14,WR,WR1,1,00-0022921,1.0,0.9271750768122028
ARI,2013,14,WR,WR2,2,00-0029638,1.0,0.8474341551782114
ARI,2013,14,WR,WR3,3,00-0027691,2.0,0.5850592553086388
ARI,2013,14,WR,WR4,4,00-0030300,2.0,0.1398446122221184
ARI,2013,14,WR,WR5,5,00-0029336,3.0,0.17050789586000853
ARI,2013,15,QB,QB1,1,00-0021429,1.0,0.9965034965034966
ARI,2013,15,QB,QB2,2,00-0025430,2.0,
ARI,2013,15,RB,RB1,1,00-0026163,1.0,0.4573807074760849
ARI,2013,15,RB,RB2,2,00-0030287,2.0,0.4001956460189837
ARI,2013,15,RB,RB3,3,00-0027346,2.0,0.14778964775154924
ARI,2013,15,RB,RB4,4,00-0030282,2.0,0.13090809055943867
ARI,2013,15,TE,TE1,1,00-0028007,1.0,0.6626768149593613
ARI,2013,15,TE,TE2,2,00-0027825,1.0,0.6067893367764327
ARI,2013,15,TE,TE3,3,00-0027259,2.0,0.19164782728768176
ARI,2013,15,WR,WR1,1,00-0022921,1.0,0.9282521071026668
ARI,2013,15,WR,WR2,2,00-0029638,1.0,0.8512514373590729
ARI,2013,15,WR,WR3,3,00-0027691,2.0,0.5853035659862548
ARI,2013,15,WR,WR4,4,00-0030300,2.0,0.14039955155344863
ARI,2013,15,WR,WR5,5,00-0029336,3.0,0.17050789586000853
ARI,2013,16,QB,QB1,1,00-0021429,1.0,0.9967532467532468
ARI,2013,16,QB,QB2,2,00-0025430,2.0,
ARI,2013,16,RB,RB1,1,00-0026163,1.0,0.4572654494349381
ARI,2013,16,RB,RB2,2,00-0030287,2.0,0.3999543519813243
ARI,2013,16,RB,RB3,3,00-0027346,2.0,0.14778964775154924
ARI,2013,16,RB,RB4,4,00-0030282,2.0,0.13371323740697633
ARI,2013,16,TE,TE1,1,00-0028007,1.0,0.6626768149593613
ARI,2013,16,TE,TE2,2,00-0027825,1.0,0.6096657286873598
ARI,2013,16,TE,TE3,3,00-0027259,2.0,0.25529475803385243
ARI,2013,16,WR,WR1,1,00-0022921,1.0,0.9239231750827285
ARI,2013,16,WR,WR2,2,00-0029638,1.0,0.8597754943544332
ARI,2013,16,WR,WR3,3,00-0027691,2.0,0.5865633953065643
ARI,2013,16,WR,WR4,4,00-0030300,2.0,0.1440264743416477
ARI,2013,16,WR,WR5,5,00-0029336,3.0,0.13327977371059394
ARI,2013,17,QB,QB1,1,00-0021429,1.0,0.996969696969697
ARI,2013,17,QB,QB2,2,00-0025430,2.0,
ARI,2013,17,RB,RB1,1,00-0026163,1.0,0.4541274411419663
ARI,2013,17,RB,RB2,2,00-0030287,2.0,0.39995761255408685
ARI,2013,17,RB,RB3,3,00-0030282,2.0,0.14368157873417273
ARI,2013,17,RB,RB4,4,00-0027346,2.0,0.13818562529310524
ARI,2013,17,TE,TE1,1,00-0027825,1.0,0.6232435689970913
ARI,2013,17,TE,TE2,2,00-0028007,1.0,0.6118981914905256
ARI,2013,17,TE,TE3,3,00-0027259,2.0,0.30644312593377826
ARI,2013,17,WR,WR1,1,00-0022921,1.0,0.9192171856327688
ARI,2013,17,WR,WR2,2,00-0029638,1.0,0.8540126836196933
ARI,2013,17,WR,WR3,3,00-0027691,2.0,0.5661258356194601
ARI,2013,17,WR,WR4,4,00-0030300,2.0,0.14509137605220448
ARI,2013,17,WR,WR5,5,00-0029336,3.0,0.1366264969496121
ARI,2014,1,QB,QB1,1,00-0021429,1.0,
